County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Glynn,192.8219178,41984,61947,0.21,1.03,21.07,2.12,66.4,1.2,7.97,37.82,61.01,67.77,23.08,7.92,50337,36.1,27.05538606,18.37538541,-28.54,-23.19,5.35,Rep,Rep,Suburban,No,59.85
Gordon,156.4486664,24033,36431,0.24,0.79,3.78,5.57,81.28,0.95,7.39,18.24,80.74,65.97,27.3,3.97,40916,18.7,20.80096621,22.1130356,-63.62,-62.5,1.12,Rep,Rep,Rural,No,62
Grady,55.52768794,10707,15441,0.21,0.34,27.58,1.95,63.48,0.84,5.61,33.8,65.7,69.34,16.37,8.39,32247,21.5,25.96982061,19.00783628,-33.04,-31.9,1.14,Rep,Rep,Rural,No,60.95
Greene,41.78711542,11247,14197,0.08,0.61,26.52,1.35,64.97,0.63,5.84,36.35,62.84,79.22,27.23,7.47,38513,30.3,37.57836163,13.69303374,-25.91,-26.49,-0.58,Rep,Rep,Rural,No,71.75
Gwinnett,1956.622055,413865,582917,0.24,9.65,27.66,9.31,39.9,3.26,9.98,58.43,40.21,71,27.09,8.14,63219,44,15.59055577,24.25405332,5.88,18.22,12.34,Dem,Dem,Suburban,Yes,62.86
Habersham,156.6163186,20432,28318,0.14,1.37,2.1,4.12,84.48,0.78,7.01,17.44,81.43,72.15,26.64,5.18,40192,23.9,26.2765732,19.842503,-66.36,-63.99,2.37,Rep,Rep,Rural,No,66.97
Hall,471.811192,90523,128535,0.17,1.35,6.75,10.1,69.29,1.24,11.1,27.65,70.89,70.43,28.91,4.72,50876,29.3,22.80157156,23.1322208,-50.63,-43.24,7.39,Rep,Rep,Suburban,Yes,65.71
Hancock,19.16539505,4165,5835,0.09,0.19,67.49,0.22,26.08,0.62,5.31,71.67,27.83,71.38,16.34,11.08,22283,15,30.07712082,16.520994,51.9,43.84,-8.06,Dem,Dem,Rural,No,60.3
Haralson,101.2297987,14248,20692,0.23,0.52,3.9,0.56,88.4,0.67,5.73,12.58,86.55,68.86,25.82,3.62,38996,19.9,20.70848637,20.61183066,-71.61,-73.97,-2.36,Rep,Rep,Rural,No,65.24
Harris,70.14680837,19991,25690,0.17,0.84,14.64,1.83,75.23,1.22,6.07,27.3,71.63,77.82,21.89,9.41,67018,36.3,22.96224212,17.47372518,-47.87,-44.33,3.54,Rep,Rep,Rural,No,68.41
